query;scaffold;identity;length;missmatches;gaps;start_q;end_q;start_s;end_s;e_value;score
exonC;Scaffold_16;99.2;977;5;2;1;975;5301534;5302509;0;1757
exonC;Scaffold_16;98.9;653;2;1;970;1617;5305008;5305660;0;1162
CYP76AD;Scaffold_16;99.2;1630;7;3;1;1617;5301534;5305660;0;1757
exonC;Scaffold_1;74.4;637;143;18;234;860;7526241;7525615;5.71e-66;255
exonC;Scaffold_1;76.8;599;132;7;970;1563;7523110;7522514;3.31e-88;329
CYP76AD;Scaffold_1;76.8;1236;275;25;234;1563;7522514;7526241;3.31e-88;329
exonC;Scaffold_1;72.0;608;150;15;187;783;37740664;37741262;3.56e-38;163
exonC;Scaffold_1;76.2;564;125;8;970;1527;37741733;37742293;1.56e-76;291
CYP76AD;Scaffold_1;76.2;1172;275;23;187;1527;37740664;37742293;1.56e-76;291
exonD1;Scaffold_16;76.8;353;80;2;267;618;5235219;5234868;2.28e- 48;196
exonD1;Scaffold_16;76.7;262;55;5;17;274;5238676;5238417;1.08e- 31;141
DODA1;Scaffold_16;76.8;615;135;7;17;618;5234868;5238676;2.28e- 48;196
exonD1;Scaffold_6;74.5;208;39;12;35;235;13866170;13866370;8.62e- 13;78.7
exonD1;Scaffold_6;76.3;359;79;5;268;623;13866926;13867281;1.37e- 45;187
exonD1;Scaffold_6;79.8;104;21;0;703;806;13868098;13868201;3.10e- 12;76.8
DODA1;Scaffold_6;79.8;671;139;17;35;806;13866170;13868201;1.37e- 45;187
exonD1;Scaffold_6;100;264;0;0;7;270;13871531;13871794;3.36e-136;488
exonD1;Scaffold_6;100;377;0;0;265;641;13875538;13875914;0;697
exonD1;Scaffold_6;99.7;397;1;0;640;1036;13876459;13876855;0;728
DODA1;Scaffold_6;100;1038;1;0;7;1036;13871531;13876855;0;728
exonD1;Scaffold_6;74.4;227;52;5;43;266;13885635;13885858;3.08e- 17;93.5
exonD1;Scaffold_6;76.9;290;63;4;261;549;13887424;13887710;8.32e- 38;161
DODA1;Scaffold_6;76.9;517;115;9;43;549;13885635;13887710;8.32e- 38;161
exonD2;Scaffold_16;73.3;180;44;4;729;906;5231395;5231218;2.71e-  8;63.9
exonD2;Scaffold_16;79.4;189;37;2;442;629;5235125;5234938;7.32e- 29;132
exonD2;Scaffold_16;76.0;154;34;3;195;347;5238576;5238576;3.48e- 12;76.8
DODA2;Scaffold_16;79.4;523;115;9;195;906;5231218;5238576;7.32e- 29;132
exonD2;Scaffold_6;87.2;47;4;2;350;395;13866927;13866972;5.86e-  5;52.8
exonD2;Scaffold_6;77.9;195;37;5;439;630;13867016;13867207;2.05e- 24;117
DODA2;Scaffold_6;87.2;242;41;7;350;630;13866927;13867207;2.05e- 24;117
exonD2;Scaffold_6;74.4;227;52;5;124;347;13871567;13871790;3.45e- 17;93.5
exonD2;Scaffold_6;77.3;277;61;2;355;630;13875547;13875822;9.33e- 38;161
DODA2;Scaffold_6;77.3;504;113;7;124;630;13871567;13875822;9.33e- 38;161
exonD2;Scaffold_6;99.4;344;0;2;10;351;13885519;13885862;9.90e-177;623
exonD2;Scaffold_6;100;377;0;0;350;726;13887430;13887806;0;697
exonD2;Scaffold_6;100;464;0;0;724;1187;13888736;13889199;0;857
DODA2;Scaffold_6;100;1185;0;2;10;1187;13885519;13889199;0;857
exonB;Scaffold_10;60.4;48;18;1;1;47;21758107;21757964;7.09e-09;58.5
exonB;Scaffold_10;70.8;48;14;0;45;92;21757254;21757111;1.56e-15;78.2
exonB;Scaffold_10;38.5;135;65;5;89;214;21756185;21755808;2.66e-13;71.6
BvMYB1-like;Scaffold_10;70.8;231;97;6;1;214;21755808;21758107;1.56e-15;78.2
exonB;Scaffold_16;66.7;39;10;1;8;46;988637;988744;7.51e-07;53.8
exonB;Scaffold_16;48.7;78;39;1;45;122;989810;990040;4.50e-14;73.9
exonB;Scaffold_16;43.6;133;54;4;89;202;990878;991270;4.08e-19;88.6
BvMYB1-like;Scaffold_16;66.7;250;103;6;8;202;988637;991270;4.08e-19;88.6
